kabupaten,Label,Cluster,harga_cabai,gkg,kemiskinan,stunting,air_bersih
Bogor,Rawan,2,2068828.0,581.459,7.27,27.6,91.9
Sukabumi,Rawan,2,3177488.0,577.924,7.01,27.0,85.72
Cianjur,Rentan,1,2407098.0,597.618,10.22,11.4,85.65
Bandung,Rentan,1,3366008.0,661.105,6.4,29.2,95.73
Garut,Rawan,2,3107854.0,619.998,9.77,24.1,81.13
Tasikmalaya,Rentan,1,3409806.0,657.989,10.28,20.7,89.03
Ciamis,Aman,0,13895960.0,647.16,7.42,25.4,94.39
Kuningan,Rentan,1,3103935.0,646.788,12.12,23.4,96.57
Cirebon,Rentan,1,1725000.0,644.998,11.2,22.9,98.52
Majalengka,Rentan,1,4191146.0,649.839,11.21,24.1,93.38
Sumedang,Rentan,1,3024028.0,633.817,9.36,14.4,95.42
Indramayu,Rentan,1,2868542.0,698.53,12.13,18.4,97.77
Subang,Rentan,1,3825278.0,619.969,9.52,18.7,99.22
Purwakarta,Rawan,2,3157722.0,633.161,8.46,24.0,85.4
Karawang,Rentan,1,2991667.0,634.93,7.87,17.1,98.11
Bekasi,Rentan,1,3413935.0,684.262,4.93,23.2,96.95
Bandung Barat,Rentan,1,3232716.0,645.443,10.52,25.1,92.27
Pangandaran,Rawan,2,4391250.0,617.153,8.98,23.9,82.95
